,subnational1,Carbon_Health_Status,Tree_Cover_Health_Status
0,Andaman and Nicobar,Improving,Improving
24,Andhra Pradesh,Degrading,Degrading
31,Andhra Pradesh,Degrading,Improving
48,Arunachal Pradesh,Degrading,Degrading
72,Assam,Degrading,Degrading
96,Bihar,Improving,Improving
120,Chandigarh,Improving,Improving
144,Chhattisgarh,Improving,Improving
168,Dadra and Nagar Haveli,Improving,Degrading
169,Dadra and Nagar Haveli,Improving,Improving
176,Dadra and Nagar Haveli,Degrading,Degrading
177,Dadra and Nagar Haveli,Degrading,Improving
192,Daman and Diu,Improving,Improving
216,Goa,Degrading,Degrading
222,Goa,Degrading,Improving
224,Goa,Improving,Degrading
230,Goa,Improving,Improving
240,Gujarat,Improving,Degrading
241,Gujarat,Improving,Improving
248,Gujarat,Degrading,Degrading
249,Gujarat,Degrading,Improving
264,Haryana,Improving,Improving
288,Himachal Pradesh,Improving,Improving
312,Jammu and Kashmir,Improving,Improving
336,Jharkhand,Improving,Degrading
337,Jharkhand,Improving,Improving
360,Karnataka,Degrading,Degrading
367,Karnataka,Degrading,Improving
376,Karnataka,Improving,Degrading
383,Karnataka,Improving,Improving
384,Kerala,Degrading,Degrading
408,Lakshadweep,Improving,Improving
432,Madhya Pradesh,Improving,Improving
456,Maharashtra,Improving,Degrading
458,Maharashtra,Improving,Improving
480,Manipur,Degrading,Degrading
504,Meghalaya,Degrading,Degrading
528,Mizoram,Degrading,Degrading
552,NCT of Delhi,Improving,Improving
576,Nagaland,Degrading,Degrading
600,Odisha,Degrading,Degrading
607,Odisha,Degrading,Improving
616,Odisha,Improving,Degrading
623,Odisha,Improving,Improving
624,Puducherry,Degrading,Degrading
648,Punjab,Improving,Degrading
649,Punjab,Improving,Improving
672,Rajasthan,Improving,Degrading
673,Rajasthan,Improving,Improving
696,Sikkim,Degrading,Degrading
703,Sikkim,Degrading,Improving
712,Sikkim,Improving,Degrading
719,Sikkim,Improving,Improving
720,Tamil Nadu,Degrading,Degrading
727,Tamil Nadu,Degrading,Improving
736,Tamil Nadu,Improving,Degrading
743,Tamil Nadu,Improving,Improving
744,Telangana,Improving,Improving
768,Tripura,Degrading,Degrading
792,Uttar Pradesh,Improving,Improving
816,Uttarakhand,Degrading,Degrading
840,West Bengal,Improving,Degrading
841,West Bengal,Improving,Improving
